_id,artist,song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6757c5642c5d5bfa0762795e,Puddle Of Mudd,Blurry,0.432,0.936,-4.537,0.0562,0.00691,0,0.14,0.499,157.469
6757c5642c5d5bfa07627d47,Little Mix,Wings,0.738,0.875,-3.141,0.127,0.000673,0.000556,0.285,0.538,114.962
6757c5642c5d5bfa076279dc,Destiny's Child,Lose My Breath,0.814,0.899,-5.958,0.0637,0.00727,0.219,0.0979,0.545,119.011
6757c5642c5d5bfa07627c0b,JLS,Everybody in Love,0.705,0.783,-5.971,0.0327,0.0703,0,0.36,0.656,140.022
6757c5642c5d5bfa07627e43,Silentó,Watch Me (Whip / Nae Nae),0.819,0.768,-8.522,0.134,0.234,0,0.334,0.964,139.982
6757c5642c5d5bfa07627a2e,50 Cent,Candy Shop,0.614,0.574,-7.961,0.466,0.0253,0.000032,0.38,0.755,125.173
6757c5642c5d5bfa07627ac1,Evanescence,Call Me When You're Sober,0.45,0.883,-4.094,0.0524,0.00193,0,0.293,0.328,93.41
6757c5642c5d5bfa07627c75,Katy Perry,Teenage Dream,0.719,0.798,-4.582,0.0361,0.0162,0.00000234,0.134,0.591,120.011
6757c5642c5d5bfa0762785e,Enrique Iglesias,Be With You,0.683,0.866,-5.436,0.0329,0.0395,0.00161,0.0483,0.542,121.996
6757c5642c5d5bfa07627cb4,Rihanna,We Found Love,0.735,0.766,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.985
