_id,artist,song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6757c5642c5d5bfa07627f9f,Drake,Nice For What,0.585,0.909,-6.474,0.0707,0.0891,0.000097,0.119,0.758,93.372
6757c5642c5d5bfa07627a03,Franz Ferdinand,Take Me Out,0.277,0.663,-8.821,0.0377,0.000409,0.00051,0.136,0.527,104.561
6757c5642c5d5bfa07627a62,Franz Ferdinand,Do You Want To,0.412,0.944,-2.896,0.0448,0.0724,0.000493,0.801,0.79,123.091
6757c5642c5d5bfa07627eb5,Kiiara,Gold,0.6,0.412,-9.343,0.344,0.615,0.0025,0.134,0.408,113.049
6757c5642c5d5bfa07627a50,Snoop Dogg,Signs,0.94,0.713,-5.308,0.127,0.0319,0.00076,0.325,0.666,112.955
6757c5642c5d5bfa07627b06,Beyoncé,Beautiful Liar,0.764,0.751,-3.74,0.0703,0.00554,0.000237,0.164,0.418,91.977
6757c5642c5d5bfa07627d6c,Kanye West,Black Skinhead,0.578,0.825,-6.107,0.322,0.000986,0,0.176,0.283,130.089
6757c5642c5d5bfa07627ffe,Normani,Motivation,0.599,0.887,-3.967,0.0984,0.0192,0.00000121,0.3,0.881,170.918
6757c5642c5d5bfa07627a69,Craig David,Don't Love You No More (I'm Sorry),0.636,0.558,-7.076,0.0245,0.462,0,0.062,0.572,100.113
6757c5642c5d5bfa07627f64,Jason Derulo,Tip Toe (feat. French Montana),0.845,0.709,-4.547,0.0714,0.0233,0,0.094,0.62,98.062
6757c5642c5d5bfa07627f5d,6ix9ine,GUMMO,0.66,0.775,-4.926,0.172,0.0553,0,0.129,0.635,157.036
6757c5642c5d5bfa07627b53,J. Holiday,Bed,0.684,0.606,-7.268,0.0504,0.17,0,0.058,0.723,127.901
6757c5642c5d5bfa07627f19,The Vamps,All Night,0.538,0.804,-5.194,0.0358,0.0041,0,0.33,0.507,144.992
6757c5642c5d5bfa0762785a,Kylie Minogue,Spinning Around,0.761,0.662,-7.645,0.0548,0.292,0.0000619,0.0956,0.631,120.043
