_id,artist,song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6757c5642c5d5bfa07627862,Missy Elliott,Hot Boyz,0.727,0.445,-11.241,0.291,0.339,0,0.18,0.527,81.125
6757c5642c5d5bfa07627863,Backstreet Boys,Show Me the Meaning of Being Lonely,0.63,0.625,-5.088,0.0252,0.231,0,0.0765,0.683,167.998
6757c5642c5d5bfa07627864,Samantha Mumba,Gotta Tell You,0.729,0.632,-8.75,0.0279,0.191,0,0.166,0.774,109.981
6757c5642c5d5bfa07627865,Mýa,Case Of The Ex (Whatcha Gonna Do),0.772,0.688,-4.715,0.0405,0.0548,0.0000979,0.0725,0.348,98
6757c5642c5d5bfa07627866,Mary Mary,Shackles (Praise You),0.779,0.834,-2.773,0.162,0.0343,0,0.0886,0.8,100.46
6757c5642c5d5bfa07627867,Next,Wifey,0.829,0.652,-8.693,0.108,0.067,0,0.0812,0.726,99.581
6757c5642c5d5bfa07627868,Janet Jackson,Doesn't Really Matter,0.771,0.796,-3.081,0.076,0.0993,0.00278,0.0981,0.801,99.316
6757c5642c5d5bfa07627869,Ricky Martin,She Bangs - English Version,0.63,0.95,-4.012,0.0806,0.000915,0.00000651,0.373,0.858,143.866
6757c5642c5d5bfa0762786a,Jagged Edge,He Can't Love U,0.721,0.836,-3.972,0.206,0.112,0,0.235,0.508,126.279
6757c5642c5d5bfa0762786b,Sisqo,Incomplete,0.746,0.443,-7.693,0.0771,0.282,0,0.14,0.272,119.311
6757c5642c5d5bfa0762786c,JAY-Z,I Just Wanna Love U (Give It 2 Me),0.8,0.922,-5.125,0.24,0.301,0.00000931,0.0352,0.801,98.631
6757c5642c5d5bfa0762786d,Mariah Carey,Thank God I Found You (feat. Joe & 98°),0.348,0.532,-5.882,0.0331,0.592,0,0.106,0.148,129.297
6757c5642c5d5bfa0762786e,Baha Men,Who Let The Dogs Out,0.869,0.887,-4.505,0.0993,0.0605,0,0.148,0.784,129.221
6757c5642c5d5bfa0762786f,Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",0.854,0.543,-6.166,0.0844,0.0402,0.0000573,0.0419,0.868,103.032
6757c5642c5d5bfa07627870,LeAnn Rimes,Can't Fight The Moonlight,0.628,0.834,-6.341,0.0497,0.403,0,0.051,0.626,97.865
6757c5642c5d5bfa07627871,Oasis,Go Let It Out,0.408,0.849,-5.631,0.0333,0.0136,0.0000251,0.56,0.628,84.192
6757c5642c5d5bfa07627872,DJ Ötzi,Hey Baby (Radio Mix),0.666,0.968,-3.196,0.046,0.123,0,0.347,0.834,135.099
6757c5642c5d5bfa07627873,P!nk,Most Girls,0.742,0.732,-6.046,0.0311,0.0424,0.00446,0.101,0.694,97.922
6757c5642c5d5bfa07627874,Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),0.471,0.514,-5.599,0.0315,0.584,0,0.103,0.373,117.338
6757c5642c5d5bfa07627875,Craig David,Fill Me In,0.682,0.744,-6.981,0.0365,0.376,0.00951,0.06,0.827,132.493
6757c5642c5d5bfa07627876,Christina Aguilera,I Turn to You,0.599,0.47,-8.356,0.0376,0.38,0,0.111,0.298,127.177
6757c5642c5d5bfa07627877,Madonna,American Pie,0.631,0.734,-7.48,0.036,0.348,0,0.135,0.591,124.036
6757c5642c5d5bfa07627878,Red Hot Chili Peppers,Otherside,0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229
6757c5642c5d5bfa07627879,Sammie,I Like It,0.826,0.656,-8.529,0.0617,0.0101,0.000113,0.0272,0.852,129.963
6757c5642c5d5bfa0762787a,Craig David,7 Days,0.659,0.812,-7.499,0.0487,0.23,0,0.0951,0.888,83.014
6757c5642c5d5bfa0762787b,Santana,Maria Maria (feat. The Product G&B),0.777,0.601,-5.931,0.126,0.0406,0.00201,0.0348,0.68,97.911
6757c5642c5d5bfa0762787c,Kandi,Don't Think I'm Not,0.859,0.622,-8.196,0.0445,0.0661,0,0.0394,0.433,134.007
6757c5642c5d5bfa0762787d,P!nk,There You Go,0.822,0.847,-6.729,0.0917,0.0854,0,0.0452,0.668,107.908
6757c5642c5d5bfa0762787e,Vengaboys,Shalala Lala,0.751,0.901,-5.802,0.0328,0.0504,0.00308,0.0395,0.973,124.017
6757c5642c5d5bfa0762787f,Ronan Keating,Life Is A Rollercoaster,0.655,0.791,-8.923,0.0302,0.1,0.000124,0.334,0.862,118.981
6757c5642c5d5bfa07627880,Madison Avenue,Don't Call Me Baby,0.808,0.982,-6.588,0.0311,0.0585,0.00689,0.35,0.961,124.999
6757c5642c5d5bfa07627881,Destiny's Child,"Jumpin', Jumpin'",0.771,0.685,-4.639,0.0567,0.00543,0.00157,0.0537,0.683,88.997
6757c5642c5d5bfa07627882,Céline Dion,That's the Way It Is,0.634,0.886,-5.424,0.0434,0.154,0,0.118,0.577,93.04
6757c5642c5d5bfa07627883,3 Doors Down,Kryptonite,0.545,0.865,-5.708,0.0286,0.00664,0.000011,0.168,0.543,99.009
6757c5642c5d5bfa07627884,Carl Thomas,I Wish,0.736,0.666,-4.929,0.0337,0.0593,0.0000382,0.107,0.224,89.824
6757c5642c5d5bfa07627885,Mystikal,Shake Ya Ass,0.914,0.607,-5.658,0.32,0.0626,0,0.0515,0.666,98.054
6757c5642c5d5bfa07627886,Fuel,Hemorrhage (In My Hands),0.313,0.831,-3.894,0.0404,0.000127,0.000341,0.24,0.332,152.034
6757c5642c5d5bfa07627887,Donell Jones,Where I Wanna Be,0.664,0.396,-9.131,0.0298,0.52,0,0.268,0.453,102.053
6757c5642c5d5bfa07627888,Savage Garden,Crash and Burn,0.581,0.607,-8.458,0.028,0.189,0.0000016,0.0882,0.213,102.03
6757c5642c5d5bfa07627889,Westlife,My Love,0.491,0.593,-5.975,0.0255,0.098,0,0.257,0.328,144.142
